CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.0248047026   2.1849691864   0.8754314924  -0.1915230620   0.2316255837
   3.0245158986   2.1730735872   0.8763629161  -0.1918817238   0.2300608064
   3.0242386966   2.1612836368   0.8772963836  -0.1922356111   0.2284718006
   3.0239723994   2.1496045717   0.8782316717  -0.1925852908   0.2268592007
   3.0237163836   2.1380413146   0.8791685410  -0.1929312381   0.2252236898
   3.0234700217   2.1265982170   0.8801067949  -0.1932739346   0.2235658656
   3.0232327012   2.1152795039   0.8810462411  -0.1936138438   0.2218863103
   3.0230037971   2.1040893318   0.8819866994  -0.1939514437   0.2201855654
   3.0227826640   2.0930320558   0.8829279891  -0.1942872371   0.2184641486
   3.0225687229   2.0821115960   0.8838699247  -0.1946216455   0.2167226108
   3.0223614042   2.0713314777   0.8848123530  -0.1949550843   0.2149614317
   3.0221599196   2.0606964305   0.8857551248  -0.1952882135   0.2131810199
   3.0219639533   2.0502101442   0.8866980059  -0.1956211286   0.2113821603
   3.0217727275   2.0398749185   0.8876409628  -0.1959545513   0.2095647630
   3.0215856620   2.0296961485   0.8885837402  -0.1962888644   0.2077295914
   3.0214022158   2.0196769574   0.8895262023  -0.1966244480   0.2058770716
   3.0212217482   2.0098211757   0.8904682127  -0.1969617978   0.2040075805
   3.0210436274   2.0001330927   0.8914095921  -0.1973013933   0.2021215705
   3.0208673199   1.9906162594   0.8923501636  -0.1976435989   0.2002195377
   3.0206921583   1.9812747061   0.8932897887  -0.1979889394   0.1983018373
   3.0205175111   1.9721128907   0.8942282662  -0.1983378876   0.1963689650
