CREATION_DATE        =      2018-05-21T13:44:47
ORIGINATOR           =      ASTOS SOLUTIONS GMBH

META_START
LAGRANGIAN           =      L1
ORBIT NUMBER         =      10000
ORBIT DISTANCE       =      0.000100
MASS RATIO           =      0.0121439878
META_STOP

DATA_START

        JC           Period           x              z            dy/dt
   2.9435575417   2.1689235891   0.9284555019  -0.2950707818   0.0817872572
   2.9434724866   2.1693899344   0.9284354521  -0.2951687585   0.0817907233
   2.9433874328   2.1698560420   0.9284153756  -0.2952667279   0.0817942444
   2.9433023786   2.1703219202   0.9283952722  -0.2953646919   0.0817978203
   2.9432173241   2.1707875687   0.9283751417  -0.2954626503   0.0818014510
   2.9431322692   2.1712529898   0.9283549835  -0.2955606031   0.0818051383
   2.9430472143   2.1717181778   0.9283347992  -0.2956585503   0.0818088782
   2.9429621590   2.1721831368   0.9283145882  -0.2957564921   0.0818126725
   2.9428771021   2.1726478883   0.9282943425  -0.2958544284   0.0818165389
   2.9427920474   2.1731123798   0.9282740782  -0.2959523575   0.0818204417
   2.9427069910   2.1735766492   0.9282537868  -0.2960502828   0.0818243986
   2.9426219343   2.1740406888   0.9282334686  -0.2961482024   0.0818284100
   2.9425368782   2.1745044813   0.9282131297  -0.2962461165   0.0818324617
   2.9424518197   2.1749680654   0.9281927584  -0.2963440263   0.0818365800
   2.9423667619   2.1754314141   0.9281723606  -0.2964419294   0.0818407524
   2.9422817038   2.1758945320   0.9281519365  -0.2965398269   0.0818449777
   2.9421966451   2.1763574198   0.9281314861  -0.2966377190   0.0818492563
   2.9421115861   2.1768200773   0.9281110093  -0.2967356056   0.0818535882
   2.9420265266   2.1772825043   0.9280905061  -0.2968334866   0.0818579732
   2.9419414666   2.1777447009   0.9280699767  -0.2969313621   0.0818624112
   2.9418564062   2.1782066670   0.9280494210  -0.2970292322   0.0818669020
   2.9417713454   2.1786684027   0.9280288392  -0.2971270967   0.0818714457
   2.9416862840   2.1791299078   0.9280082312  -0.2972249557   0.0818760420
   2.9416012222   2.1795911823   0.9279875971  -0.2973228092   0.0818806909
   2.9415161594   2.1800522347   0.9279669340  -0.2974206573   0.0818853990
   2.9414310970   2.1805130449   0.9279462480  -0.2975184991   0.0818901526
   2.9413460336   2.1809736276   0.9279255359  -0.2976163362   0.0818949584
   2.9412609697   2.1814339794   0.9279047978  -0.2977141677   0.0818998163
   2.9411759052   2.1818941005   0.9278840339  -0.2978119938   0.0819047262
   2.9410908402   2.1823539908   0.9278632441  -0.2979098143   0.0819096880
   2.9410057745   2.1828136503   0.9278424286  -0.2980076294   0.0819147016
   2.9409207083   2.1832730790   0.9278215873  -0.2981054389   0.0819197669
   2.9408356415   2.1837322768   0.9278007203  -0.2982032430   0.0819248836
   2.9407505736   2.1841912513   0.9277798249  -0.2983010416   0.0819300580
   2.9406655061   2.1846499846   0.9277589067  -0.2983988342   0.0819352776
   2.9405804375   2.1851084874   0.9277379636  -0.2984966219   0.0819405465
   2.9404953680   2.1855667624   0.9277169941  -0.2985944042   0.0819458684
   2.9404102980   2.1860248055   0.9276959992  -0.2986921809   0.0819512414
   2.9403252273   2.1864826176   0.9276749788  -0.2987899521   0.0819566653
   2.9402401560   2.1869401987   0.9276539330  -0.2988877179   0.0819621400
   2.9401550839   2.1873975487   0.9276328618  -0.2989854782   0.0819676653
   2.9400700112   2.1878546676   0.9276117652  -0.2990832330   0.0819732413
   2.9399849377   2.1883115555   0.9275906434  -0.2991809823   0.0819788678
   2.9398998635   2.1887682122   0.9275694963  -0.2992787262   0.0819845447
   2.9398147886   2.1892246378   0.9275483240  -0.2993764647   0.0819902718
   2.9397297129   2.1896808322   0.9275271265  -0.2994741976   0.0819960491
   2.9396446364   2.1901367955   0.9275059040  -0.2995719251   0.0820018765
   2.9395595591   2.1905925276   0.9274846563  -0.2996696472   0.0820077538
   2.9394744811   2.1910480284   0.9274633835  -0.2997673638   0.0820136810
   2.9393894023   2.1915032980   0.9274420858  -0.2998650750   0.0820196580
   2.9393043228   2.1919583338   0.9274207641  -0.2999627807   0.0820256824
   2.9392192421   2.1924131417   0.9273994165  -0.3000604812   0.0820317584
   2.9391341608   2.1928677175   0.9273780440  -0.3001581760   0.0820378839
   2.9390490787   2.1933220620   0.9273566467  -0.3002558654   0.0820440587
   2.9389639956   2.1937761753   0.9273352246  -0.3003535494   0.0820502828
   2.9388789118   2.1942300562   0.9273137780  -0.3004512279   0.0820565553
   2.9387938269   2.1946837072   0.9272923064  -0.3005489010   0.0820628775
   2.9387087413   2.1951371265   0.9272708101  -0.3006465687   0.0820692488
   2.9386236547   2.1955903145   0.9272492891  -0.3007442309   0.0820756688
   2.9385385672   2.1960432712   0.9272277436  -0.3008418877   0.0820821377
   2.9384534787   2.1964959966   0.9272061734  -0.3009395390   0.0820886552
   2.9383683893   2.1969484906   0.9271845787  -0.3010371850   0.0820952212
   2.9382832990   2.1974007533   0.9271629595  -0.3011348255   0.0821018357
   2.9381982077   2.1978527846   0.9271413159  -0.3012324606   0.0821084986
   2.9381131154   2.1983045842   0.9271196479  -0.3013300902   0.0821152094
   2.9380280233   2.1987561326   0.9270979628  -0.3014277145   0.0821219519
   2.9379429275   2.1992074778   0.9270762455  -0.3015253350   0.0821287597
   2.9378578323   2.1996585833   0.9270545044  -0.3016229483   0.0821356151
   2.9377727360   2.2001094579   0.9270327390  -0.3017205563   0.0821425184
   2.9376876386   2.2005601012   0.9270109493  -0.3018181589   0.0821494694
   2.9376025402   2.2010105130   0.9269891355  -0.3019157561   0.0821564682
   2.9375174407   2.2014606935   0.9269672974  -0.3020133479   0.0821635145
   2.9374323403   2.2019106407   0.9269454361  -0.3021109343   0.0821706067
   2.9373472385   2.2023603591   0.9269235498  -0.3022085154   0.0821777478
   2.9372621357   2.2028098454   0.9269016396  -0.3023060910   0.0821849363
   2.9371770320   2.2032590984   0.9268797061  -0.3024036612   0.0821921703
   2.9370919269   2.2037081228   0.9268577479  -0.3025012261   0.0821994531
   2.9370068208   2.2041569151   0.9268357657  -0.3025987855   0.0822067828
   2.9369217135   2.2046054760   0.9268137597  -0.3026963395   0.0822141595
   2.9368366051   2.2050538056   0.9267917297  -0.3027938882   0.0822215831
   2.9367514955   2.2055019039   0.9267696760  -0.3028914314   0.0822290534
   2.9366663847   2.2059497709   0.9267475984  -0.3029889692   0.0822365703
   2.9365812728   2.2063974066   0.9267254971  -0.3030865017   0.0822441338
   2.9364961596   2.2068448109   0.9267033721  -0.3031840288   0.0822517438
